node_id,metric_result
10,"[0.7952585  1.20434511 1.33235626 1.39139575 1.42407247 1.44439651
 1.45811207 1.46793375 1.47528802 1.48098847 1.48553002 1.48922981
 1.49229987 1.49488704 1.4970961  1.49900375 1.50066736 1.50213068
 1.50342765 1.50458498 1.50562396 1.5065618  1.50741253 1.5081877
 1.50889692]"
11,"[0.62950361 1.30504948 1.44004189 1.48435433 1.50367797 1.51368334
 1.51949969 1.5231713  1.52563562 1.52736971 1.52863661 1.52959082
 1.53032785 1.53090934 1.53137646 1.53175761 1.53207285 1.5323367
 1.53255988 1.53275044 1.53291453 1.53305691 1.53318129 1.53329064
 1.53338733]"
12,"[0.20936148 1.04287774 1.28385917 1.34602601 1.36211064 1.36463244
 1.36285392 1.35977696 1.35645607 1.353269   1.3503401  1.34769516
 1.3453221  1.34319568 1.34128776 1.33957141 1.33802236 1.33661941
 1.33534423 1.33418112 1.33311663 1.33213922 1.33123901 1.33040747
 1.32963724]"
13,"[0.54024134 0.66425479 0.83478807 0.90492713 0.94090384 0.96255711
 0.97696117 0.98721342 0.994874   1.0008112  1.00554564 1.00940802
 1.01261828 1.01532829 1.01764628 1.0196514  1.02140287 1.02294589
 1.02431551 1.02553937 1.02663954 1.02763385 1.02853685 1.02936056
 1.03011497]"
14,"[0.75320634 1.10503999 1.21342612 1.24598916 1.26017003 1.26791391
 1.27275962 1.27607087 1.2784754  1.28030051 1.28173312 1.2828876
 1.28383783 1.28463366 1.28530992 1.2858917  1.28639752 1.28684136
 1.28723396 1.28758371 1.28789728 1.28818    1.28843622 1.2886695
 1.28888279]"
15,"[0.71050136 1.18755057 1.28405052 1.30713906 1.31547435 1.31946474
 1.32175906 1.3232467  1.32429299 1.32507203 1.32567668 1.32616089
 1.32655818 1.32689055 1.32717302 1.32741626 1.32762805 1.32781423
 1.32797924 1.32812654 1.32825888 1.32837846 1.32848704 1.3285861
 1.32867685]"
16,"[0.07658484 0.63538184 0.85176462 0.92908501 0.96516821 0.98552039
 0.99847505 1.00741357 1.01394186 1.01891442 1.02282604 1.02598243
 1.02858248 1.03076101 1.03261263 1.03420565 1.03559062 1.03680574
 1.03788041 1.03883762 1.0396956  1.04046901 1.04116976 1.04180762
 1.04239067]"
17,"[0.71810423 1.1200326  1.24575581 1.31045669 1.35135911 1.37915764
 1.39907436 1.41396107 1.42547321 1.43462427 1.44206433 1.44822751
 1.45341384 1.45783688 1.46165257 1.46497731 1.46789969 1.47048829
 1.47279699 1.47486872 1.47673807 1.47843324 1.47997742 1.48138989
 1.48268677]"
18,"[1.21089407 1.59070859 1.58819929 1.55543582 1.53247228 1.51758446
 1.50758222 1.50053704 1.49535977 1.49141801 1.48832808 1.48584674
 1.48381364 1.48211932 1.48068681 1.47946051 1.47839939 1.4774725
 1.47665612 1.47593175 1.47528478 1.47470351 1.47417849 1.47370197
 1.47326756]"
19,"[0.71001046 1.47664283 1.6057629  1.62687169 1.62920829 1.62767814
 1.62547701 1.62337312 1.62153314 1.61996308 1.61862882 1.61749092
 1.61651421 1.61566961 1.61493377 1.61428803 1.61371751 1.61321024
 1.6127566  1.61234872 1.61198018 1.61164567 1.61134078 1.61106179
 1.6108056 ]"
20,"[0.69469328 1.1546435  1.30063562 1.3684385  1.40585545 1.42898197
 1.44449904 1.45555883 1.46380929 1.47018522 1.47525252 1.4793723
 1.48278508 1.48565695 1.48810609 1.49021881 1.49205953 1.49367732
 1.49511015 1.49638788 1.49753429 1.49856855 1.49950629 1.50036037
 1.50114148]"
21,"[1.17663328 1.46789934 1.50053469 1.49959453 1.49622913 1.49348971
 1.4914629  1.48995741 1.48881399 1.48792417 1.48721597 1.48664104
 1.48616619 1.48576812 1.48543004 1.48513964 1.4848877  1.48466718
 1.48447265 1.48429983 1.48414533 1.48400643 1.4838809  1.48376692
 1.48366298]"
22,"[0.89339031 1.21074965 1.26690006 1.29471439 1.31067919 1.32077629
 1.32766661 1.33264366 1.33639703 1.33932388 1.34166776 1.34358575
 1.34518352 1.34653463 1.34769181 1.34869384 1.34956983 1.35034207
 1.35102791 1.35164103 1.35219238 1.35269083 1.35314363 1.35355676
 1.35393519]"
23,"[0.64740337 1.04127204 1.09508118 1.10969783 1.11725957 1.12202358
 1.12530184 1.12768847 1.12949897 1.13091678 1.13205561 1.13298953
 1.13376871 1.13442832 1.1349937  1.13548353 1.13591191 1.13628965
 1.13662517 1.13692513 1.13719489 1.13743875 1.13766027 1.13786236
 1.13804747]"
24,"[0.48363578 1.17517019 1.34760247 1.39828162 1.41951695 1.43063071
 1.4373154  1.44172709 1.44483592 1.44713537 1.44890044 1.45029554
 1.45142454 1.4523561  1.45313733 1.45380157 1.45437304 1.45486976
 1.45530539 1.45569047 1.45603327 1.45634034 1.45661697 1.45686745
 1.45709529]"
25,"[0.77952272 1.20975208 1.30112896 1.33797217 1.35786219 1.37029417
 1.37878817 1.38495358 1.38962982 1.393297   1.39624926 1.39867673
 1.40070774 1.40243195 1.40391392 1.40520131 1.40633006 1.40732775
 1.40821596 1.40901175 1.40972883 1.41037832 1.41096935 1.41150946
 1.41200496]"
26,"[1.17713078 1.38090773 1.40078685 1.40615565 1.40863909 1.41000874
 1.41084094 1.41138166 1.41175117 1.41201385 1.41220662 1.41235182
 1.41246362 1.41255132 1.41262121 1.41267768 1.41272387 1.41276204
 1.4127939  1.41282071 1.41284345 1.41286286 1.41287953 1.41289394
 1.41290644]"
27,"[0.87736827 1.42672353 1.51065142 1.52314186 1.52477277 1.52437844
 1.52362313 1.52287613 1.52221678 1.52165179 1.52117015 1.52075816
 1.52040345 1.52009576 1.51982685 1.51959013 1.51938035 1.51919328
 1.5190255  1.51887424 1.51873721 1.51861252 1.5184986  1.51839412
 1.51829797]"
28,"[0.18200134 0.87396185 1.06755737 1.14982837 1.19433333 1.22193407
 1.24062332 1.25407631 1.26420492 1.27209687 1.27841461 1.28358379
 1.28788994 1.2915316  1.29465093 1.29735239 1.29971442 1.30179701
 1.30364685 1.3053008  1.30678834 1.30813333 1.30935529 1.31047032
 1.31149186]"
29,"[0.7868808  1.30190021 1.39407115 1.39780274 1.39154018 1.38541506
 1.38049895 1.37664332 1.37359063 1.37113345 1.36912173 1.36744867
 1.36603767 1.36483292 1.36379305 1.36288684 1.3620904  1.36138513
 1.36075635 1.36019236 1.35968371 1.35922268 1.35880292 1.35841915
 1.35806696]"
30,"[0.77800576 1.26550768 1.34896641 1.39403    1.42186961 1.43983477
 1.45213506 1.46100328 1.46766817 1.47284591 1.47697723 1.48034647
 1.48314453 1.48550402 1.48751975 1.48926122 1.49078048 1.49211729
 1.49330246 1.49436031 1.49531022 1.49616783 1.49694593 1.49765505
 1.49830395]"
31,"[1.14330767 1.75640657 1.79186601 1.75282058 1.71511589 1.68549344
 1.66264035 1.64478025 1.63055934 1.61902531 1.60951251 1.60154958
 1.59479664 1.58900393 1.58398452 1.57959616 1.57572889 1.57229652
 1.56923063 1.56647627 1.5639888  1.56173166 1.5596746  1.5577924
 1.55606387]"
32,"[0.66590236 1.25949869 1.40858505 1.46161398 1.48735327 1.50228007
 1.51194161 1.51867427 1.52362047 1.52740104 1.53038092 1.53278804
 1.53477182 1.53643416 1.53784684 1.53906185 1.54011775 1.54104371
 1.54186223 1.54259089 1.54324367 1.5438318  1.54436438 1.54484892
 1.5452916 ]"
33,"[0.81594259 1.41214155 1.50481215 1.51955677 1.52185121 1.52162101
 1.52086196 1.52005537 1.51932108 1.51868085 1.51812906 1.51765359
 1.51724212 1.51688388 1.51656996 1.51629307 1.51604734 1.51582796
 1.51563106 1.51545344 1.51529245 1.51514593 1.51501203 1.51488921
 1.51477618]"
34,"[0.85134966 1.56531893 1.72840282 1.75847107 1.75778798 1.74991475
 1.74091762 1.73244818 1.72489961 1.718285   1.71250838 1.70745284
 1.70300882 1.69908167 1.69559213 1.69247465 1.68967518 1.68714902
 1.68485913 1.68277463 1.68086962 1.67912228 1.67751413 1.67602938
 1.67465455]"
35,"[0.90107327 1.41148558 1.52020078 1.54618409 1.55333111 1.55499796
 1.5548282  1.55402036 1.55301719 1.55199242 1.55101437 1.55010747
 1.54927728 1.54852134 1.54783404 1.54720878 1.546639   1.54611858
 1.54564203 1.54520447 1.54480162 1.54442973 1.54408553 1.54376616
 1.54346913]"
36,"[1.15015398 1.5032767  1.51671695 1.49384866 1.47875939 1.47044814
 1.46575856 1.46295466 1.46117848 1.45999508 1.45917231 1.45857947
 1.45813924 1.4578039  1.4575428  1.45733565 1.45716858 1.45703188
 1.4569186  1.45682368 1.45674332 1.45667468 1.45661556 1.45656427
 1.45651947]"
37,"[0.61480054 1.20056548 1.37351332 1.44251946 1.47847724 1.50009432
 1.5143705  1.52444625 1.53191453 1.53766102 1.54221435 1.54590839
 1.54896381 1.55153211 1.5537206  1.55560735 1.55725049 1.55869419
 1.55997255 1.56111236 1.56213492 1.56305741 1.56389378 1.56465554
 1.56535223]"
38,"[0.87185024 1.25117685 1.34421498 1.37693738 1.39232315 1.40107952
 1.40670396 1.41061899 1.41350202 1.41571469 1.41746727 1.41889027
 1.42006903 1.42106168 1.42190924 1.42264143 1.4232804  1.42384292
 1.42434198 1.42478777 1.42518841 1.42555043 1.42587918 1.42617904
 1.42645368]"
39,"[0.13669998 0.57729374 0.76437302 0.83989195 0.87973192 0.90415038
 0.92058634 0.93237951 0.94124274 0.94814197 0.9536621  0.9581775
 0.96193869 0.9651195  0.9678443  0.97020434 0.97226813 0.97408804
 0.9757048  0.97715059 0.97845112 0.9796272  0.98069585 0.98167115
 0.98256478]"
40,"[0.28382567 1.00115862 1.23205496 1.31130931 1.34561311 1.36326724
 1.37356441 1.3801441  1.38464389 1.38788494 1.39031577 1.39219873
 1.39369603 1.39491269 1.39591938 1.39676522 1.39748532 1.39810539
 1.39864466 1.39911777 1.39953607 1.39990847 1.40024206 1.40054257
 1.40081464]"
41,"[0.84812944 1.39973527 1.5123656  1.54825156 1.56241107 1.56897194
 1.57236368 1.57425186 1.5753564  1.57602286 1.57643104 1.57668055
 1.57682944 1.57691297 1.57695328 1.57696465 1.57695652 1.57693527
 1.57690523 1.57686943 1.57682997 1.57678835 1.57674561 1.5767025
 1.57665956]"
42,"[0.74142073 1.19382531 1.34850071 1.40917039 1.43993061 1.45819963
 1.47020269 1.47865389 1.48491008 1.48972013 1.4935293  1.49661819
 1.49917205 1.50131797 1.5031459  1.5047213  1.50609286 1.50729758
 1.50836403 1.50931464 1.51016725 1.51093621 1.51163324 1.51226794
 1.5128483 ]"
43,"[0.31171959 1.13580018 1.29954467 1.35133506 1.37460437 1.38736769
 1.39529549 1.40064967 1.40448816 1.40736528 1.40959717 1.41137637
 1.4128264  1.41402996 1.41504439 1.41591065 1.41665875 1.41731114
 1.41788498 1.41839355 1.41884732 1.41925467 1.41962232 1.41995579
 1.42025961]"
44,"[0.41407017 0.49013804 0.46912822 0.48776829 0.50507381 0.5167985
 0.52489056 0.53073384 0.53512813 0.53854426 0.54127236 0.54349944
 0.54535094 0.54691394 0.54825067 0.54940675 0.55041634 0.55130555
 0.55209463 0.55279955 0.55343307 0.55400548 0.55452522 0.55499921
 0.55543323]"
45,"[0.50906533 1.20933789 1.37250035 1.42615543 1.45232122 1.4679038
 1.47827181 1.48567358 1.49122355 1.49553913 1.49899053 1.5018134
 1.50416485 1.50615372 1.50785775 1.50933396 1.51062512 1.51176392
 1.51277581 1.51368085 1.51449511 1.51523157 1.51590087 1.51651179
 1.51707164]"
46,"[0.16275828 0.82233563 1.03325922 1.12750732 1.17950099 1.21197856
 1.23402769 1.24991224 1.26187237 1.27118906 1.2786445  1.28474193
 1.28981918 1.29411114 1.29778607 1.30096754 1.30374831 1.30619934
 1.30837581 1.31032128 1.31207057 1.31365187 1.31508821 1.31639861
 1.31759891]"
47,"[0.94214834 1.37886161 1.39988715 1.39459546 1.38965936 1.38625502
 1.38393367 1.38230706 1.38113    1.38025234 1.37958045 1.3790542
 1.3786338  1.37829217 1.37801037 1.37777485 1.37757572 1.37740563
 1.37725899 1.37713154 1.37701993 1.37692153 1.37683425 1.37675641
 1.37668661]"
48,"[1.00148498 1.47460286 1.55585289 1.57769206 1.58702301 1.59205092
 1.59513076 1.5971797  1.59862498 1.59969034 1.60050315 1.60114068
 1.60165222 1.60207055 1.6024182  1.60271114 1.60296095 1.60317623
 1.60336347 1.60352768 1.60367273 1.60380172 1.60391711 1.60402088
 1.60411468]"
49,"[0.86442024 1.24743167 1.3386324  1.36612193 1.37755441 1.38342358
 1.38686869 1.38908403 1.39060532 1.39170297 1.39252601 1.39316241
 1.39366699 1.39407547 1.39441201 1.39469348 1.39493194 1.39513626
 1.39531307 1.39546742 1.39560321 1.39572352 1.39583078 1.39592695
 1.39601364]"
50,"[0.51520253 1.15560169 1.27182543 1.30124791 1.31276854 1.31863231
 1.32211732 1.32440536 1.32601428 1.32720358 1.3281166  1.32883861
 1.3294233  1.32990611 1.33031132 1.33065611 1.33095297 1.33121118
 1.33143779 1.33163823 1.33181676 1.33197678 1.33212101 1.33225167
 1.33237058]"
51,"[0.04673329 0.58137496 0.75202049 0.82052613 0.85708457 0.87971539
 0.8950625  0.90613678 0.91449612 0.92102559 0.92626446 0.93055965
 0.93414429 0.93718075 0.93978552 0.94204435 0.94402174 0.94576709
 0.94731892 0.94870767 0.94995773 0.95108886 0.95211725 0.95305626
 0.95391705]"
52,"[0.32109136 0.92873765 1.11024508 1.18604206 1.22677134 1.25189637
 1.26882494 1.28095534 1.29005121 1.29711311 1.30274852 1.30734655
 1.31116746 1.31439165 1.31714797 1.31953085 1.321611   1.32344242
 1.32506704 1.32651787 1.3278213  1.32899864 1.33006729 1.33104159
 1.33193348]"
53,"[1.09029326 1.37625781 1.46605037 1.50011157 1.5157804  1.52423847
 1.5293467  1.53268993 1.53501251 1.53670162 1.53797522 1.53896393
 1.53975011 1.5403879  1.54091419 1.54135483 1.54172845 1.54204875
 1.54232602 1.54256812 1.54278114 1.54296986 1.54313812 1.54328896
 1.5434249 ]"
54,"[0.81451959 1.38173962 1.43863177 1.44446304 1.44453095 1.44387469
 1.44323479 1.44271216 1.44229822 1.44196956 1.44170551 1.44149037
 1.44131264 1.44116388 1.44103791 1.44093008 1.4408369  1.44075568
 1.44068433 1.44062122 1.44056504 1.44051473 1.44046946 1.44042851
 1.44039131]"
55,"[0.49038536 0.9833969  1.08262228 1.12167485 1.1453379  1.16120037
 1.17242079 1.18070764 1.18704866 1.19204356 1.1960731  1.1993889
 1.20216316 1.20451735 1.20653944 1.20829461 1.20983214 1.21118993
 1.21239762 1.2134787  1.21445201 1.21533285 1.21613376 1.21686512
 1.21753559]"
56,"[1.84028508e-04 2.74844866e-01 5.74704163e-01 7.14593111e-01
 7.90045673e-01 8.35664041e-01 8.65628417e-01 8.86562101e-01
 9.01892578e-01 9.13542180e-01 9.22660638e-01 9.29972460e-01
 9.35954325e-01 9.40931395e-01 9.45132379e-01 9.48722433e-01
 9.51823570e-01 9.54527738e-01 9.56905459e-01 9.59011670e-01
 9.60889763e-01 9.62574444e-01 9.64093783e-01 9.65470719e-01
 9.66724171e-01]"
57,"[0.10328021 0.54520649 0.74412569 0.82428584 0.86666574 0.89269727
 0.91024871 0.92285869 0.93234545 0.93973602 0.94565317 0.95049597
 0.95453172 0.95794606 0.96087187 0.96340677 0.96562403 0.96757971
 0.96931745 0.97087169 0.97227    0.9735347  0.97468403 0.97573308
 0.9766944 ]"
58,"[0.72924013 1.38567497 1.52614805 1.56548728 1.58120602 1.58909187
 1.5936929  1.59667354 1.59875486 1.60029083 1.60147273 1.60241207
 1.60317795 1.60381537 1.60435489 1.604818   1.60522024 1.60557315
 1.6058855  1.60616405 1.60641413 1.60663997 1.60684501 1.60703204
 1.60720338]"
59,"[0.95999071 1.18037034 1.41297253 1.49617893 1.53371837 1.55390052
 1.56614625 1.57423529 1.57991984 1.5841058  1.58730235 1.58981518
 1.59183771 1.59349777 1.59488293 1.59605501 1.59705884 1.59792764
 1.59868652 1.59935481 1.5999476  1.60047684 1.60095209 1.60138113
 1.60177032]"
60,"[0.63312861 1.1383224  1.30698927 1.38426343 1.42587329 1.45117892
 1.46796564 1.47982669 1.48861328 1.49536434 1.50070358 1.50502622
 1.50859397 1.51158661 1.51413148 1.51632121 1.5182247  1.5198942
 1.52137008 1.52268396 1.52386096 1.52492131 1.52588144 1.52675484
 1.52755272]"
61,"[0.86986589 1.38445532 1.46265549 1.49341659 1.5088835  1.51771181
 1.52323583 1.52693825 1.52955388 1.5314796  1.53294507 1.53409084
 1.53500699 1.53575351 1.5363717  1.53689078 1.53733193 1.53771086
 1.5380394  1.53832665 1.53857966 1.53880403 1.5390042  1.53918378
 1.5393457 ]"
62,"[0.51557211 1.20678274 1.37982977 1.43736954 1.46337725 1.47769799
 1.48662044 1.49265961 1.4969955  1.50024838 1.50277301 1.504786
 1.50642658 1.50778812 1.50893544 1.5099149  1.51076046 1.51149758
 1.51214568 1.51271985 1.51323196 1.51369149 1.51410608 1.51448199
 1.51482434]"
63,"[0.39750282 1.21892167 1.39675065 1.45188537 1.47582266 1.4884768
 1.49606179 1.50101871 1.50446804 1.50698503 1.50889105 1.51037788
 1.51156617 1.51253518 1.5133389  1.51401526 1.51459158 1.51508805
 1.51551983 1.51589853 1.51623318 1.51653091 1.5167974  1.51703724
 1.51725418]"
64,"[0.13572424 0.8793058  1.11006799 1.222648   1.28767902 1.32927556
 1.35791571 1.378742   1.39452821 1.40688769 1.41681745 1.42496466
 1.43176682 1.43752983 1.44247379 1.446761   1.45051369 1.45382562
 1.45676992 1.4594044  1.46177541 1.4639205  1.46587042 1.4676506
 1.46928224]"
65,"[0.53089539 0.81387108 1.0211587  1.11438145 1.16544217 1.19721647
 1.21875245 1.2342577  1.24593083 1.25502504 1.26230415 1.26825907
 1.27321914 1.27741332 1.28100558 1.28411635 1.28683604 1.28923382
 1.2913635  1.29326756 1.29497997 1.29652821 1.29793478 1.29921823
 1.30039403]"
66,"[0.8598587  1.54842107 1.63256548 1.63915194 1.63495637 1.62980589
 1.62532782 1.62166729 1.61869853 1.61627338 1.61426923 1.6125924
 1.61117271 1.6099575  1.60890698 1.60799067 1.60718497 1.60647139
 1.60583524 1.60526478 1.60475045 1.60428447 1.60386039 1.60347286
 1.6031174 ]"
67,"[0.74295924 1.22276634 1.3684898  1.42262553 1.44994314 1.46621338
 1.47694126 1.48451837 1.49014214 1.49447525 1.49791283 1.50070453
 1.50301559 1.50495958 1.50661704 1.50804667 1.50929221 1.51038692
 1.51135654 1.51222126 1.51299719 1.51369728 1.51433211 1.51491038
 1.51543929]"
68,"[0.04821462 0.81023132 0.94524711 0.9871919  1.00761842 1.01976058
 1.02782346 1.03357114 1.03787677 1.04122291 1.04389822 1.04608607
 1.04790856 1.04945014 1.0507711  1.05191563 1.05291685 1.05380009
 1.05458503 1.05528722 1.05591908 1.05649068 1.05701024 1.05748455
 1.05791928]"
69,"[0.58766079 1.16864268 1.25056042 1.27311107 1.2841344  1.29076489
 1.29518583 1.29833553 1.30068866 1.30251099 1.30396256 1.30514531
 1.30612713 1.30695495 1.30766219 1.30827328 1.30880652 1.30927584
 1.30969204 1.31006363 1.3103974  1.31069883 1.31097239 1.31122177
 1.31145003]"
70,"[0.56387163 0.96479762 1.09714071 1.14526659 1.16946867 1.18402585
 1.19374916 1.20070456 1.20592689 1.20999211 1.21324635 1.21591023
 1.21813097 1.22001063 1.22162216 1.22301908 1.22424158 1.22532039
 1.22627944 1.22713761 1.22791002 1.2286089  1.22924429 1.22982444
 1.23035627]"
71,"[0.90711837 0.93238105 0.97763388 1.03606521 1.07188941 1.0942884
 1.10936854 1.12015837 1.12824483 1.13452518 1.13954145 1.14363935
 1.14704943 1.14993116 1.15239837 1.1545344  1.15640168 1.1580479
 1.15951009 1.16081746 1.16199335 1.16305664 1.16402276 1.16490444
 1.16571229]"
72,"[0.53912698 1.00932879 1.14674365 1.20004128 1.22691116 1.24280342
 1.25323305 1.26058282 1.26603426 1.27023586 1.27357194 1.27628435
 1.2785327  1.28042651 1.2820434  1.28343991 1.28465817 1.28573025
 1.28668093 1.28752973 1.28829217 1.2889808  1.28960583 1.29017568
 1.29069735]"
73,"[0.62867596 1.45569368 1.67676117 1.75341639 1.78774564 1.80605967
 1.81705985 1.82424357 1.82923279 1.83286435 1.83560682 1.83774004
 1.83944007 1.8408225  1.84196601 1.84292577 1.84374153 1.84444255
 1.84505081 1.84558312 1.84605252 1.84646929 1.84684161 1.84717608
 1.84747807]"
74,"[0.70768546 0.83395607 0.72934318 0.65021448 0.60764955 0.58660792
 0.57641976 0.57153464 0.56928139 0.56837129 0.56816299 0.56832524
 0.568681   0.569133   0.56962677 0.57013151 0.57062988 0.57111236
 0.57157398 0.57201251 0.57242733 0.57281875 0.5731876  0.57353502
 0.57386227]"
75,"[0.33807715 1.16663916 1.34687774 1.39997341 1.42217582 1.43386768
 1.44096965 1.44570626 1.44907751 1.45159377 1.45354098 1.45509114
 1.45635366 1.45740133 1.45828441 1.45903867 1.45969026 1.46025873
 1.46075897 1.46120253 1.4615985  1.46195412 1.46227524 1.46256665
 1.46283227]"
76,"[0.9661194  1.40953128 1.50318496 1.54900484 1.57536576 1.59193906
 1.60316909 1.61123218 1.61728412 1.62198619 1.62574108 1.62880697
 1.63135659 1.63350965 1.63535167 1.6369453  1.63833747 1.63956403
 1.64065282 1.64162577 1.6425004  1.64329089 1.6440088  1.64466367
 1.64526346]"
77,"[1.06274312 1.53090423 1.61017014 1.61125925 1.6022497  1.59322828
 1.58562087 1.57939378 1.57429009 1.5700661  1.56652872 1.5635315
 1.56096412 1.55874301 1.55680421 1.55509819 1.55358609 1.55223712
 1.55102657 1.54993439 1.54894422 1.54804253 1.54721806 1.54646137
 1.54576449]"
78,"[0.74023802 1.37456555 1.51958877 1.56556517 1.58563548 1.59627022
 1.60265062 1.60681961 1.60971766 1.6118288  1.61342404 1.61466534
 1.6156547  1.61645919 1.61712451 1.61768275 1.61815703 1.61856441
 1.61891769 1.61922668 1.61949899 1.61974061 1.61995633 1.62014999
 1.62032473]"
79,"[0.55986679 0.788482   0.91988919 1.00641054 1.05627195 1.08742296
 1.10850769 1.12366251 1.13505529 1.14392022 1.15100834 1.15680164
 1.16162312 1.1656971  1.16918405 1.17220178 1.17483865 1.17716223
 1.17922502 1.18106847 1.1827257  1.18422349 1.18558374 1.18682453
 1.18796089]"
80,"[0.29955181 0.8441987  1.04124987 1.1274083  1.17425778 1.20332071
 1.22297957 1.2371112  1.24773613 1.25600422 1.26261539 1.26801903
 1.27251631 1.27631643 1.27956906 1.28238407 1.28484387 1.28701147
 1.28893585 1.29065565 1.29220177 1.29359917 1.2948683  1.29602599
 1.29708627]"
81,"[0.87777422 1.52455997 1.56893263 1.57499232 1.57606753 1.57562905
 1.57469808 1.57364888 1.57262242 1.57166883 1.57080167 1.57001984
 1.5693167  1.56868399 1.56811346 1.56759754 1.56712947 1.56670341
 1.56631427 1.56595771 1.56562996 1.56532781 1.56504845 1.56478947
 1.56454878]"
82,"[1.17863205 1.32154984 1.32256945 1.33038077 1.33516378 1.33803165
 1.3399072  1.3412283  1.3422117  1.34297434 1.34358446 1.34408452
 1.34450241 1.34485719 1.34516238 1.34542785 1.34566099 1.34586744
 1.34605157 1.34621687 1.3463661  1.34650152 1.34662498 1.346738
 1.34684187]"
83,"[0.71672909 1.42101921 1.54810132 1.58061583 1.59227447 1.59731575
 1.59974753 1.60099471 1.60164969 1.60198777 1.60214791 1.6022048
 1.60220062 1.60216009 1.60209815 1.60202404 1.60194354 1.60186032
 1.60177673 1.60169423 1.60161374 1.60153581 1.60146075 1.6013887
 1.6013197 ]"
84,"[0.77595941 1.38263901 1.52551569 1.57292598 1.59310129 1.60328248
 1.60905323 1.6126055  1.61493002 1.61652421 1.61765879 1.6184908
 1.61911616 1.61959598 1.61997061 1.62026751 1.62050587 1.62069939
 1.62085806 1.6209893  1.62109867 1.62119045 1.62126793 1.6213337
 1.62138979]"
85,"[0.7290581  1.47607844 1.5833664  1.59283829 1.58824225 1.58202748
 1.57637421 1.57158636 1.56758573 1.56423317 1.56140098 1.55898569
 1.55690642 1.55510041 1.55351881 1.55212333 1.55088363 1.54977548
 1.54877933 1.54787926 1.54706215 1.54631718 1.54563529 1.54500886
 1.54443143]"
